"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0051050"	462.714489299572	-1.75144470939693	0.151264074169902	-11.5787223040792	5.28275405723006e-31	4.6476751455674e-30	"CG31050"	"Q8IMM2"	"Dmel\CG31050"
"FBgn0051075"	336.286801257593	-1.03353342857716	0.14331623811033	-7.21155845425908	5.53150926590602e-13	2.21872713259654e-12	"CG31075"	"A0A0B4K6I6"	"150697_at"
"FBgn0051088"	437.930457496693	-0.618736742914831	0.20363252972711	-3.03849656901089	0.00237761812208373	0.00417088016474766	"CG31088"	"Q8INC8"	"Dmel\CG31088"
"FBgn0051092"	116.276984108373	-2.34034695637202	0.471644152939389	-4.96210319111658	6.97339281600229e-07	1.77902841309275e-06	"LpR2"	"A8JRC4"	"CG31092"
"FBgn0051093"	708.376971620204	-1.10381514609384	0.292567128431065	-3.77286112767765	0.000161386126678482	0.00032461712458639	"CG31093"	"Q7KRZ7"	"BcDNA:AT30660"
"FBgn0051098"	35.0166882710759	-4.32806604102868	0.533429880698779	-8.11365504189422	4.91194534514221e-16	2.33958134309029e-15	"CG31098"	"Q9VBT1"	"BcDNA:GH27183"
"FBgn0051109"	139.700829956729	-0.941520034477931	0.157252947323551	-5.98729658491381	2.1335752162413e-09	6.75279893127883e-09	"CG31109"	"Q9VBY9"	"BcDNA:RE17222"
"FBgn0051111"	32.9388867308143	-1.90380462122912	0.425161821491668	-4.47783532056024	7.54037312531894e-06	1.75177325132984e-05	"CG31111"	"Q8IMU0"	"CG13649"
"FBgn0051118"	114.637346428391	-1.51888321602185	0.2472618088625	-6.14281365573317	8.10723742886411e-10	2.63322551160618e-09	"RabX4"	"Q9VC31"	"AAF56345"
"FBgn0051126"	357.602662623136	-2.69491464907808	0.137765468232139	-19.5616120908984	3.28524826415969e-85	1.12355490634261e-83	"CG31126"	"Q9VC53"	"CG13621"
"FBgn0051133"	36.8814817959915	-1.06574683286401	0.335167773824287	-3.1797413596891	0.00147406555147576	0.00264586485222756	"Slimp"	"Q95T19"	"BcDNA:LD24627"
"FBgn0051140"	44.9517248920948	-2.33097501149364	0.399781152550467	-5.83062757366828	5.52193034026234e-09	1.68658506317296e-08	"CG31140"	"A8JR94"	"CG13600"
"FBgn0051144"	271.353774895978	-1.436190850663	0.250051471965845	-5.74358086905871	9.26950628228738e-09	2.78774029658784e-08	NA	NA	NA
"FBgn0051145"	22.4081388894148	-3.45847975628667	0.649823913454715	-5.32217987777651	1.02531111131197e-07	2.82466580495545e-07	"CG31145"	"A4VCL2"	"CG10187"
"FBgn0051155"	107.602997635359	-0.881119322672922	0.252275809242013	-3.49268257357029	0.000478194576357217	0.000908143336704673	"Rpb7"	"Q9VFB5"	"CG31155"
"FBgn0051174"	481.361200869022	-1.44913786234112	0.174417377453954	-8.30844886842594	9.69611403358164e-17	4.83055069682867e-16	"CG31174"	"A0A0B4KGM8"	"BcDNA:SD11171"
"FBgn0051184"	323.193503701136	-5.48475954153819	0.2935669127124	-18.6831666105079	6.78708178924716e-78	1.94344245290683e-76	"LSm3"	"Q8IMX8"	"BcDNA:RE11655"
"FBgn0051216"	8.81649421053933	-3.30861444178839	0.853221720175391	-3.87778975095508	0.000105409750396081	0.000216252074950798	"Naam"	"Q9VDU7"	"AAM52663"
"FBgn0051217"	33.800028664066	-2.06452320295748	0.481069688857082	-4.29152626070111	1.77449212301975e-05	3.96833834326446e-05	"modSP"	"Q9VER6"	"CG10100"
"FBgn0051223"	34.2783687707473	-1.8546422566694	0.310858380287447	-5.96619674513659	2.42847440748725e-09	7.64232964782341e-09	"CG31223"	"Q8SZR6"	"CG15694"
"FBgn0051226"	6456.39627771466	-1.88626894881936	0.281532783775734	-6.69999750480906	2.08423098594115e-11	7.5876007197336e-11	"CG31226"	"Q8T959"	"BcDNA:AT26083"
"FBgn0051229"	353.403645469925	-2.14125758149976	0.152346140617502	-14.0552138230784	7.15654333580247e-45	9.67567846770353e-44	"CG31229"	"Q8IN78"	"Dmel\CG31229"
"FBgn0051230"	228.210444877208	-1.32903009524156	0.191975148054574	-6.9229278305531	4.42403184427899e-12	1.67536402437278e-11	"CG31230"	"Q1WWA2"	"Dmel\CG31230"
"FBgn0051248"	11.1990980278461	-4.00934584132368	0.85838669091899	-4.67079217762716	3.00040378905716e-06	7.23924928516354e-06	"CG31248"	"Q9VI66"	"CG2640"
"FBgn0051251"	64.3768458831396	-0.871043708177162	0.237004533416286	-3.67521960707486	0.000237644910590454	0.000468308206375378	"CG31251"	"Q8IN95"	"CG7477"
"FBgn0051278"	41.9147462170197	-2.10987775863862	0.3050010300742	-6.917608632749	4.59331136986858e-12	1.73676092624025e-11	"CG31278"	"A0A0B4LI27"	"CG6482"
"FBgn0051281"	96.2989781382476	-0.949841942491949	0.287917823457092	-3.29900362223843	0.000970286592526807	0.00178083892968526	"Tpl94D"	"A0A0B4KHN9"	"CG31281"
"FBgn0051287"	864.896204468085	-0.455892590621845	0.159748390498838	-2.85381648727885	0.00431974765278086	0.00734538602974963	"CG31287"	"Q8INB8"	"Dmel\CG31287"
"FBgn0051296"	4.40627037755776	-4.41442859024607	1.25492522852443	-3.51768255981008	0.000435332789707873	0.000831426049998944	"CG31296"	"Q8IND6"	"Dmel\CG31296"
"FBgn0051313"	180.363163128105	-6.35753911356213	0.576736268940575	-11.0233038148277	2.9502781483349e-28	2.34726913492359e-27	"CG31313"	"Q8SZN1"	"BcDNA:RH02566"
"FBgn0051337"	6.65373564764678	-5.901546257102	1.29083041411178	-4.57189898268927	4.83323945245917e-06	1.14075350296086e-05	"CG31337"	"Q8SXS2"	"BcDNA:RE40816"
