"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0029689"	38.6626695605276	0.776599894374733	0.251028926793011	3.09366695024389	0.00197699284658338	0.00366705878631827	"CG6428"	"Q9W4N6"	"CG-6428"
"FBgn0029697"	8.72132705658933	1.74193065414967	0.593572284277133	2.93465631784179	0.00333917312593746	0.00599482899155076	"CG15570"	"Q9W4M4"	"Dmel\CG15570"
"FBgn0029700"	610.648242846386	0.525527627103047	0.13782656640657	3.81296321024796	0.000137310558197152	0.000294160751870366	"CG15576"	"Q9W4M0"	"Dmel\CG15576"
"FBgn0029702"	757.293940464385	2.71809139174678	0.365528665623488	7.43605535590621	1.0373638089643e-13	4.51016927014936e-13	"CG15572"	"Q9W4L8"	"Dmel\CG15572"
"FBgn0029703"	947.642232039305	3.73074591152167	0.323912175747385	11.5177699106662	1.07353554224055e-30	9.54746991350721e-30	"CG12692"	"Q9W4L5"	"Dmel\CG12692"
"FBgn0029705"	605.26372601892	1.2143730884306	0.424537563191269	2.86046087253645	0.00423025750301342	0.00748363707719006	"CG12693"	"Q9W4L0"	"Dmel\CG12693"
"FBgn0029708"	77.9354591095898	1.09757102008722	0.230807141300385	4.75535988142925	1.98093214974737e-06	5.08495346125483e-06	"CG3556"	"M9NGQ5"	"Dmel\CG3556"
"FBgn0029710"	200.904333783653	1.3224620214109	0.226577679612195	5.83668269387523	5.32503682223911e-09	1.69331100754288e-08	"CG3568"	"Q9W4J9"	"Dmel\CG3568"
"FBgn0029722"	806.845894439089	3.60331677745312	0.415446404938705	8.67336131596747	4.19548035792296e-18	2.30997141962691e-17	"CG7024"	"Q9W4H4"	"Dmel\CG7024"
"FBgn0029724"	322.771913889028	0.93328547841488	0.318186111414213	2.93314335521054	0.00335548919187317	0.0060198633494575	"CG15472"	"Q9W4H1"	"Dmel\CG15472"
"FBgn0029727"	64.7226198073288	2.04221434609615	0.450485429180717	4.53336382002468	5.80516981377347e-06	1.42281595416375e-05	"CG6978"	"Q9W4G7"	"Dmel\CG6978"
"FBgn0029728"	1271.19220444334	3.85404764041925	0.230168176697888	16.7444852529634	6.212553400124e-63	1.3408761088601e-61	"CG2861"	"M9PJ39"	"Dmel\CG2861"
"FBgn0029730"	662.580350672487	1.8174085543747	0.416346651852807	4.36513310792089	1.27045372530679e-05	3.00864493895662e-05	"boil"	"Q9W4G4"	"CG12681"
"FBgn0029736"	47.5039374933716	0.991128882784868	0.215558553333916	4.59795664544814	4.26654746905044e-06	1.05734727455027e-05	"CG4041"	"Q9W4F8"	"Dmel\CG4041"
"FBgn0029737"	459.566484802859	1.70422096984385	0.17721220097733	9.61683766944393	6.78861463264196e-22	4.37331514227711e-21	"CG6903"	"Q9W4F7"	"Dmel\CG6903"
"FBgn0029745"	237.999987183981	1.45545134839236	0.246707564211052	5.89950029723149	3.64604118580049e-09	1.17471207638979e-08	"Rpn13R"	"Q9W4E6"	"CG6789"
"FBgn0029747"	514.579619480112	2.73399850326477	0.449981418301274	6.07580311557284	1.23368701615803e-09	4.11477580080462e-09	"CG5062"	"Q9W4E4"	"BcDNA:AT13663"
"FBgn0029750"	1488.87952396306	3.35499071974731	0.162154994266538	20.6900239793579	4.26001277002484e-95	1.80815458409315e-93	"CG3323"	"Q9W4E0"	"Dmel\CG3323"
"FBgn0029752"	2365.56784427154	3.54146274887123	0.171940012551834	20.5970832286847	2.91478401747756e-94	1.20887333221594e-92	"TrxT"	"Q8IFW4"	"3315"
"FBgn0029753"	1464.1854238539	3.84397632693235	0.295055543862529	13.02797526395	8.48288948062718e-39	9.58649602837396e-38	"CG4198"	"X2JE64"	"Dmel\CG4198"
"FBgn0029756"	57.3225369218965	1.15160265345647	0.297667139582188	3.86875976660671	0.000109390353949329	0.000236462780100654	"CG3309"	"X2JCL3"	"BEST:LD39762"
"FBgn0029763"	900.749072283908	4.35573344509629	0.161241204396516	27.0137739382354	1.01828493023694e-160	1.37479298400394e-158	"Usp16-45"	"Q9W4C3"	"CG4165"
"FBgn0029789"	73.7891104425057	2.517626696505	0.22108736629285	11.3874742764368	4.82781474231044e-30	4.23426377986606e-29	"CG3160"	"Q9W495"	"Dmel\CG3160"
"FBgn0029798"	88.6426056656083	2.07078787215745	0.275389128579742	7.51949753004803	5.49871572522605e-14	2.43830193112662e-13	"CG4078"	"M9PGH6"	"Dmel\CG4078"
"FBgn0029809"	79.2248515574588	1.33287218735996	0.247622531395169	5.38267733493482	7.33860187494012e-08	2.13121730880698e-07	"CG15767"	"Q9W473"	"Dmel\CG15767"
"FBgn0029818"	299.097145973537	1.24736061912111	0.167551457676557	7.44464200084149	9.72076628483269e-14	4.23357051890225e-13	"GAA1"	"Q9W464"	"CG3033"
"FBgn0029819"	756.74631764811	1.81764662299105	0.232079291592889	7.832006942608	4.80143012237474e-15	2.26861316764921e-14	"Usp30"	"Q9W462"	"CG3016"
"FBgn0029820"	696.312905286188	2.95652206295244	0.276294010220602	10.7006375584902	1.01080319123158e-26	7.73243116330317e-26	"CG16721"	"Q9W461"	"Dmel\CG16721"
"FBgn0029821"	16.8213301222635	1.29661941381356	0.382795310772159	3.38723954376054	0.000705997161250459	0.00139019549626526	"CG4020"	"Q9W459"	"Dmel\CG4020"
"FBgn0029856"	455.606605311819	2.07009539313478	0.381740839923187	5.42277685969181	5.86802266339357e-08	1.71948916234421e-07	"CG11700"	"R9PY16"	"CR11700"
"FBgn0029861"	271.716119049123	2.44357583342866	0.183343345278645	13.3278676120746	1.59388618071645e-40	1.89046817938996e-39	"CG3815"	"Q9W410"	"Dmel\CG3815"
"FBgn0029877"	460.350581420157	1.23879687656769	0.201369590745772	6.15185675245109	7.65810331026532e-10	2.59516659841328e-09	"CG17717"	"Q9W3Y8"	"BcDNA:AT19932"
"FBgn0029891"	568.322594028119	1.92524494800861	0.10041770487678	19.172365574089	6.2978810174301e-82	2.08141687479702e-80	"Pink1"	"Q0KHV6"	":Pink1"
"FBgn0029912"	211.727273129027	2.27589734579962	0.188804563352626	12.0542496716511	1.84202290065676e-33	1.80797468153402e-32	"CG4557"	"Q9W3V2"	"AAF46211"
"FBgn0029922"	12.5793051945554	1.66191896940335	0.509931827858007	3.25910029264955	0.00111766149457435	0.00214457847409178	"CG14431"	"Q9W3U2"	"Dmel\CG14431"
"FBgn0029939"	10.683122327999	1.35612195190909	0.486993003446143	2.78468467167427	0.00535798006568208	0.00933783644789498	"CG9650"	"A8JV12"	"Dmel\CG9650"
"FBgn0029945"	515.310635267517	3.69193469617699	0.347777559582128	10.6157933266684	2.51647595712304e-26	1.9009878792767e-25	"CG18155"	"Q7KVU5"	"Dmel\CG18155"
"FBgn0029947"	1170.47742148796	2.23092541268698	0.472816364864915	4.71837605139654	2.37734742347049e-06	6.04748770319983e-06	"CG1999"	"Q9W3R3"	"Dmel\CG1999"
"FBgn0029949"	540.632628659474	2.60914042852384	0.281203965599912	9.2784624248011	1.71941797502322e-20	1.0562020097299e-19	"CG15035"	"Q9W3R1"	"Dmel\CG15035"
"FBgn0029951"	688.544247613413	2.69256572466644	0.240367473271865	11.2018722334408	3.99206339075279e-29	3.36856891569439e-28	"CG11369"	"Q9I7W4"	"Dmel\CG11369"
"FBgn0029957"	73.1340613606875	0.753933092699314	0.253362746977575	2.97570618290638	0.00292314776862977	0.00528833475861445	"CG12155"	"Q9W3Q2"	"Dmel\CG12155"
"FBgn0029958"	250.41898965467	0.56819008723895	0.164960208070879	3.44440695052236	0.000572313588795488	0.00114004579428717	"Pdp"	"Q9W3Q1"	"153332_at"
"FBgn0029963"	612.49955956403	1.70966983101244	0.210079933356743	8.13818723042531	4.01240024576807e-16	1.99613373261633e-15	"CG10920"	"Q9W3P6"	"Dmel\CG10920"
"FBgn0029966"	40.0738016603469	3.69828701943946	0.329340544064566	11.2293705894723	2.92555092342074e-29	2.47686235951518e-28	"Ir7c"	"Q9W3P2"	"CG15324"
"FBgn0029976"	334.46285987606	3.26715135829066	0.236046551164244	13.8411315148482	1.43923068811825e-43	1.88107895601531e-42	"snz"	"Q9W3N0"	"CG1514"
"FBgn0029979"	962.44474468539	0.995389324634651	0.354222402422876	2.81006880938699	0.0049530909159421	0.00867867966508645	"mahe"	"Q9W3M7"	"CG10777"
"FBgn0029989"	341.195909499948	2.09931864789725	0.478990716573854	4.38279610701717	1.17165757839096e-05	2.78663911682152e-05	"CG15333"	"Q9W3L5"	"CG18293"
"FBgn0029992"	201.112016425536	2.56431572883529	0.163341078800524	15.6991477444991	1.53287543123218e-55	2.7515872839841e-54	"Upf2"	"Q9W3L1"	"CG2253"
"FBgn0029993"	445.978534648331	2.32928365756412	0.376477068627245	6.18705321430979	6.12992768051164e-10	2.09126108046702e-09	"CG1571"	"Q9W3L0"	"Dmel\CG1571"
"FBgn0029997"	174.573631935078	0.87176734187426	0.236393038088839	3.68778771541758	0.000226212247257053	0.000471637856076763	"CG2258"	"Q9W3K6"	"Dmel\CG2258"
"FBgn0030001"	17.565297064486	2.05289595788638	0.422517595939518	4.85872299193012	1.18145293472985e-06	3.09853672135906e-06	"cyr"	"Q9W3K2"	"CG15335"
"FBgn0030004"	611.664170036892	2.28096667017132	0.334691036510612	6.81514119395606	9.41712294212976e-12	3.60738627402864e-11	"CG10958"	"Q9W3J8"	"Dmel\CG10958"
"FBgn0030008"	79.5010802026715	1.12566651519369	0.369009110211321	3.05051144821074	0.00228451970811045	0.00420368850451351	"CG2129"	"Q9W3J4"	"Dmel\CG2129"
"FBgn0030010"	90.7605621930083	2.12815286700537	0.2696587720074	7.8920216507808	2.97330129319733e-15	1.4207141081313e-14	"CG10959"	"M9PHD3"	"Dmel\CG10959"
"FBgn0030014"	368.894344818616	2.16880923924623	0.316003572594032	6.86324278375323	6.73146764532793e-12	2.60931752861505e-11	"CG15337"	"Q9W3I7"	"Dmel\CG15337"
