gsm	title	source name	organism
GSM2647117	dpse_TX_f_r2	thorax without digestive system	Drosophila pseudoobscura
GSM2647118	dpse_TX_f_r3	thorax without digestive system	Drosophila pseudoobscura
GSM2647119	dpse_TX_m_r1	thorax without digestive system	Drosophila pseudoobscura
GSM2647120	dpse_TX_m_r2	thorax without digestive system	Drosophila pseudoobscura
GSM2647121	dpse_TX_m_r3	thorax without digestive system	Drosophila pseudoobscura
GSM2647122	dpse_WB_f_r1	whole body	Drosophila pseudoobscura
GSM2647123	dpse_WB_f_r2	whole body	Drosophila pseudoobscura
GSM2647124	dpse_WB_f_r3	whole body	Drosophila pseudoobscura
GSM2647125	dpse_WB_m_r1	whole body	Drosophila pseudoobscura
GSM2647126	dpse_WB_m_r2	whole body	Drosophila pseudoobscura
GSM2647127	dpse_WB_m_r3	whole body	Drosophila pseudoobscura
GSM2647128	dvir_AC_f_r1	abdomen without digestive or reproductive system	Drosophila virilis
GSM2647129	dvir_AC_f_r2	abdomen without digestive or reproductive system	Drosophila virilis
GSM2647130	dvir_AC_f_r3	abdomen without digestive or reproductive system	Drosophila virilis
GSM2647131	dvir_AC_m_r1	abdomen without digestive or reproductive system	Drosophila virilis
GSM2647132	dvir_AC_m_r2	abdomen without digestive or reproductive system	Drosophila virilis
GSM2647133	dvir_AC_m_r3	abdomen without digestive or reproductive system	Drosophila virilis
GSM2647134	dvir_DG_f_r1	digestive plus excretory system	Drosophila virilis
GSM2647135	dvir_DG_f_r2	digestive plus excretory system	Drosophila virilis
GSM2647136	dvir_DG_f_r3	digestive plus excretory system	Drosophila virilis
GSM2647137	dvir_DG_m_r1	digestive plus excretory system	Drosophila virilis
GSM2647138	dvir_DG_m_r2	digestive plus excretory system	Drosophila virilis
GSM2647139	dvir_DG_m_r3	digestive plus excretory system	Drosophila virilis
GSM2647140	dvir_GO_f_r1	gonad	Drosophila virilis
GSM2647141	dvir_GO_f_r2	gonad	Drosophila virilis
GSM2647142	dvir_GO_f_r3	gonad	Drosophila virilis
GSM2647143	dvir_GO_m_r1	gonad	Drosophila virilis
GSM2647144	dvir_GO_m_r2	gonad	Drosophila virilis
GSM2647145	dvir_GO_m_r3	gonad	Drosophila virilis
GSM2647146	dvir_HD_f_r1	head	Drosophila virilis
GSM2647147	dvir_HD_f_r2	head	Drosophila virilis
GSM2647148	dvir_HD_f_r3	head	Drosophila virilis
GSM2647149	dvir_HD_m_r1	head	Drosophila virilis
GSM2647150	dvir_HD_m_r2	head	Drosophila virilis
GSM2647151	dvir_HD_m_r3	head	Drosophila virilis
GSM2647152	dvir_RE_f_r1	reproductive system without gonad	Drosophila virilis
GSM2647153	dvir_RE_f_r2	reproductive system without gonad	Drosophila virilis
GSM2647154	dvir_RE_f_r3	reproductive system without gonad	Drosophila virilis
GSM2647155	dvir_RE_m_r1	reproductive system without gonad	Drosophila virilis
GSM2647156	dvir_RE_m_r2	reproductive system without gonad	Drosophila virilis
GSM2647157	dvir_RE_m_r3	reproductive system without gonad	Drosophila virilis
GSM2647158	dvir_TX_f_r1	thorax without digestive system	Drosophila virilis
GSM2647159	dvir_TX_f_r2	thorax without digestive system	Drosophila virilis
GSM2647160	dvir_TX_f_r3	thorax without digestive system	Drosophila virilis
GSM2647161	dvir_TX_m_r1	thorax without digestive system	Drosophila virilis
GSM2647162	dvir_TX_m_r2	thorax without digestive system	Drosophila virilis
GSM2647163	dvir_TX_m_r3	thorax without digestive system	Drosophila virilis
GSM2647164	dvir_WB_f_r1	whole body	Drosophila virilis
GSM2647165	dvir_WB_f_r2	whole body	Drosophila virilis
GSM2647166	dvir_WB_f_r3	whole body	Drosophila virilis
GSM2647167	dvir_WB_m_r1	whole body	Drosophila virilis
GSM2647168	dvir_WB_m_r2	whole body	Drosophila virilis
GSM2647169	dvir_WB_m_r3	whole body	Drosophila virilis
GSM2647170	dwil_AC_f_r1	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2647171	dwil_AC_f_r2	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2647172	dwil_AC_f_r3	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2647173	dwil_AC_m_r1	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2647174	dwil_AC_m_r2	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2647175	dwil_AC_m_r3	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2647176	dwil_DG_f_r1	digestive plus excretory system	Drosophila willistoni
GSM2647177	dwil_DG_f_r2	digestive plus excretory system	Drosophila willistoni
GSM2647178	dwil_DG_f_r3	digestive plus excretory system	Drosophila willistoni
GSM2647179	dwil_DG_m_r1	digestive plus excretory system	Drosophila willistoni
GSM2647180	dwil_DG_m_r2	digestive plus excretory system	Drosophila willistoni
GSM2647181	dwil_DG_m_r3	digestive plus excretory system	Drosophila willistoni
GSM2647182	dwil_GO_f_r1	gonad	Drosophila willistoni
GSM2647183	dwil_GO_f_r2	gonad	Drosophila willistoni
GSM2647184	dwil_GO_f_r3	gonad	Drosophila willistoni
GSM2647185	dwil_GO_m_r1	gonad	Drosophila willistoni
GSM2647186	dwil_GO_m_r2	gonad	Drosophila willistoni
GSM2647187	dwil_GO_m_r3	gonad	Drosophila willistoni
GSM2647188	dwil_HD_f_r1	head	Drosophila willistoni
GSM2647189	dwil_HD_f_r2	head	Drosophila willistoni
GSM2647190	dwil_HD_f_r3	head	Drosophila willistoni
